prep,cnt
'cept,2
'gainst,12
'mongst,5
'pon,25
a cut above,1
a la,2
abaft,1
aboard,2
about,7
above,10
absent,1
according to,4
across,4
afore,5
after,12
after the fashion of,1
against,11
agin,12
ahead of,4
all for,1
all over,3
along,4
along with,1
alongside,3
amid,2
amidst,3
among,4
anent,1
anti,1
apart from,2
apropos,1
apropos of,1
around,7
as,4
as far as,3
as for,1
as from,1
as of,1
as regards,1
as to,1
as well as,1
aside from,1
aslant,1
astraddle,1
astride,2
at,13
at a range of,1
at the hand of,1
at the hands of,1
at the heels of,1
athwart,2
atop,2
back of,1
bar,2
bare of,1
barring,1
because of,1
before,4
behind,9
below,5
beneath,6
beside,3
besides,2
between,9
betwixt,10
beyond,9
but,1
but for,2
by,23
by courtesy of,2
by dint of,1
by force of,1
by means of,1
by reason of,1
by the hand of,1
by the hands of,1
by the name of,1
by virtue of,1
by way of,3
care of,1
chez,1
circa,1
come,1
complete with,1
concerning,1
considering,1
contrary to,1
counting,1
courtesy of,2
cum,1
dehors,1
depending on,1
despite,1
down,7
due to,3
during,2
ere,1
ex,3
except,1
except for,1
excepting,1
excluding,1
exclusive of,1
failing,1
following,2
for,15
for all,1
for the benefit of,2
forbye,1
fore,5
fornent,1
frae,17
from,16
give or take,2
given,1
gone,2
having regard to,1
in,15
in accord with,1
in addition to,1
in advance of,2
in aid of,1
in back of,1
in bed with,3
in behalf of,2
in case of,1
in common with,2
in company with,1
in connection with,1
in consideration of,2
in contravention of,1
in default of,2
in excess of,1
in face of,2
in favor of,2
in favour of,2
in front of,4
in honor of,1
in honour of,1
in keeping with,1
in lieu of,1
in light of,1
in line with,2
in memoriam,1
in need of,1
in peril of,1
in place of,2
in proportion to,3
in re,1
in reference to,1
in regard to,1
in relation to,1
in respect of,1
in sight of,2
in spite of,1
in terms of,1
in the course of,2
in the face of,2
in the fashion of,1
in the grip of,1
in the light of,1
in the matter of,1
in the midst of,3
in the name of,3
in the pay of,1
in the person of,1
in the shape of,2
in the teeth of,2
in the throes of,1
in token of,1
in view of,1
in virtue of,1
including,1
inclusive of,1
inside,6
inside of,2
instead of,1
into,10
irrespective of,1
less,1
like,7
little short of,1
mid,2
midst,1
minus,3
mod,1
modulo,1
more like,1
near,5
near to,6
neath,7
next door to,2
next to,4
nigh,6
nothing short of,1
notwithstanding,1
o',21
o'er,18
of,20
of the name of,1
of the order of,2
off,8
on,24
on a level with,2
on a par with,1
on account of,1
on behalf of,2
on pain of,1
on the order of,3
on the part of,1
on the point of,1
on the score of,1
on the strength of,1
on the stroke of,1
on top of,6
onto,9
opposite,2
other than,1
out of,9
out of keeping with,1
out of line with,1
outboard of,1
outside,4
outside of,3
outta,10
outwith,5
over,17
over against,2
over and above,2
overtop,1
owing to,1
pace,1
past,6
pending,1
per,4
plus,3
preparatory to,1
previous to,1
prior to,1
pro,1
pursuant to,1
qua,1
re,2
regarding,1
regardless of,1
relative to,3
respecting,1
round,9
round about,2
sans,5
save,2
saving,2
short for,1
short of,5
since,1
subsequent to,1
than,2
thanks to,1
this side of,4
thro',17
through,16
throughout,3
thru,17
thwart,3
till,2
to,17
to the accompaniment of,2
to the tune of,1
together with,1
touching,1
toward,7
towards,6
under,16
under cover of,3
under pain of,1
under sentence of,1
under the heel of,1
underneath,5
unlike,3
until,1
unto,8
up,4
up against,2
up and down,2
up before,1
up for,4
up to,7
upon,25
upside,1
upward of,1
upwards of,1
versus,2
via,3
vice,1
vis-a-vis,2
while,2
with,19
with reference to,1
with regard to,1
with respect to,1
with the exception of,1
within,7
within sight of,2
without,4
